filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status,original_code,refactored_code
952227.py,0,0,7,69.15,51.89,1.88,97.3,ORIGINAL,,
952227.py,1,0,7,69.15,51.89,1.88,97.3,ACCEPTED,"T = int(input())
for tc in range(0,T) :
	a=sorted(map(int,input().split("" "")))
	if a[0]**2+a[1]**2==a[2]**2 :
		print(""YES"")
	else:
		print(""NO"")","T = int(input())
for _ in range(T):
	a = sorted(map(int,input().split()))
	if a[0]**2 + a[1]**2 == a[2]**2 :
		print(""YES"")
	else:
		print(""NO"")"
952227.py,2,0,4,74.45,51.89,1.88,97.3,ACCEPTED,"T = int(input())
for _ in range(T):
	a = sorted(map(int,input().split()))
	if a[0]**2 + a[1]**2 == a[2]**2 :
		print(""YES"")
	else:
		print(""NO"")","num_cases = int(input())
for _ in range(num_cases):
    a, b, c = sorted(map(int,input().split()))
    print(""YES"" if a**2 + b**2 == c**2 else ""NO"")"
952227.py,3,0,4,72.91,41.21,2.0,82.42,ACCEPTED,"num_cases = int(input())
for _ in range(num_cases):
    a, b, c = sorted(map(int,input().split()))
    print(""YES"" if a**2 + b**2 == c**2 else ""NO"")","num_cases = int(input())
for _ in range(num_cases):
    sides = sorted(map(int,input().split()))
    print(""YES"" if sum(side ** 2 for side in sides[:-1]) == sides[-1] ** 2 else ""NO"")"
952227.py,4,0,4,72.91,41.21,2.0,82.42,ACCEPTED,"num_cases = int(input())
for _ in range(num_cases):
    sides = sorted(map(int,input().split()))
    print(""YES"" if sum(side ** 2 for side in sides[:-1]) == sides[-1] ** 2 else ""NO"")","for _ in range(int(input())):
    sides = sorted(map(int,input().split()))
    is_pythagoras = ""YES"" if sum(side ** 2 for side in sides[:-1]) == sides[-1] ** 2 else ""NO""
    print(is_pythagoras)"
952227.py,5,0,4,72.91,41.21,2.0,82.42,ACCEPTED,"for _ in range(int(input())):
    sides = sorted(map(int,input().split()))
    is_pythagoras = ""YES"" if sum(side ** 2 for side in sides[:-1]) == sides[-1] ** 2 else ""NO""
    print(is_pythagoras)","num_of_trials = int(input())
for _ in range(num_of_trials):
    sides = sorted(map(int,input().split()))
    print(""YES"" if sum(side ** 2 for side in sides[:-1]) == sides[-1] ** 2 else ""NO"")"
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ORIGINAL,,
952296.py,1,0,14,78.27,153.73,5.75,883.95,REJECTED,"# your code goes here
import math

n = int(input())
for i in range(n):
	xa, ya, ra, xb, yb, rb = [float(x) for x in input().split("" "")]
	distance = math.sqrt((xb-xa)**2 + (yb-ya)**2)

	if distance > ra+rb:
		print(0)
	elif distance < abs(ra-rb):
		if ra > rb:
			print(2)
		elif ra < rb:
			print(-2)
		else:
			print(1)
	elif distance <= ra+rb:
		print(1)
			","# your code goes here
import math

n = int(input())
for _ in range(n):
	xa, ya, ra, xb, yb, rb = map(float, input().split())
	distance = math.sqrt((xb-xa)**2 + (yb-ya)**2)

	if distance > ra+rb:
		print(0)
	elif distance <= abs(ra-rb):
		print(2 if ra > rb else (-2 if ra < rb else 1))
	else:
		print(1)"
954044.py,0,0,12,100.0,0.0,0.0,0.0,ORIGINAL,,
954044.py,1,0,7,100.0,0.0,0.0,0.0,ACCEPTED,"#coding: utf-8

a = []

for i in range(10):
	num = input()
	a.append(int(num))

a.sort(reverse=True)

for i in range(3):
	print(a[i])","#coding: utf-8

numbers = [int(input()) for _ in range(10)]
numbers.sort(reverse=True)

for number in numbers[:3]:
	print(number)"
954044.py,2,0,6,100.0,0.0,0.0,0.0,ACCEPTED,"#coding: utf-8

numbers = [int(input()) for _ in range(10)]
numbers.sort(reverse=True)

for number in numbers[:3]:
	print(number)","#coding: utf-8

numbers = sorted([int(input()) for _ in range(10)], reverse=True)

for number in numbers[:3]:
	print(number)"
954044.py,3,4,11,100.0,0.0,0.0,0.0,ACCEPTED,"#coding: utf-8

numbers = sorted([int(input()) for _ in range(10)], reverse=True)

for number in numbers[:3]:
	print(number)","#coding: utf-8

def collect_and_sort_numbers(count):
    return sorted((int(input()) for _ in range(count)), reverse=True)

def print_top_numbers(numbers, top):
    for number in numbers[:top]:
        print(number)

numbers = collect_and_sort_numbers(10)
print_top_numbers(numbers, 3)"
954044.py,4,4,13,100.0,0.0,0.0,0.0,ACCEPTED,"#coding: utf-8

def collect_and_sort_numbers(count):
    return sorted((int(input()) for _ in range(count)), reverse=True)

def print_top_numbers(numbers, top):
    for number in numbers[:top]:
        print(number)

numbers = collect_and_sort_numbers(10)
print_top_numbers(numbers, 3)","#coding: utf-8

def collect_and_sort_numbers(quantity):
    numbers = [int(input()) for _ in range(quantity)]
    numbers.sort(reverse=True)
    return numbers

def display_highest_numbers(sorted_numbers, top_quantity):
    for number in sorted_numbers[:top_quantity]:
        print(number)

collected_numbers = collect_and_sort_numbers(10)
display_highest_numbers(collected_numbers, 3)"
