filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,4,74.45,51.89,1.88,97.3,ACCEPTED
952227.py,3,0,4,74.39,25.27,1.2,30.32,ACCEPTED
952227.py,4,0,4,74.58,49.83,2.14,106.78,ACCEPTED
952227.py,5,0,3,75.02,41.21,2.0,82.42,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,79.46,104.0,5.1,530.4,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,0,6,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,0,6,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,4,4,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,5,3,11,100.0,0.0,0.0,0.0,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,15,65.01,27.0,1.8,48.6,ACCEPTED
956270.py,2,4,12,69.31,15.51,1.0,15.51,REJECTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,9,34,49.71,205.0,4.5,922.5,ACCEPTED
958432.py,2,10,32,53.58,68.0,2.5,170.0,REJECTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,7,21,56.67,100.08,3.08,307.93,ACCEPTED
958436.py,2,6,16,62.47,38.05,2.0,76.11,REJECTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,0,12,66.56,15.51,1.0,15.51,ACCEPTED
960263.py,2,0,11,65.6,28.53,1.5,42.79,ACCEPTED
960263.py,3,0,12,64.84,28.53,1.5,42.79,ACCEPTED
960263.py,4,0,11,65.6,28.53,1.5,42.79,ACCEPTED
960263.py,5,0,11,65.6,28.53,1.5,42.79,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,2,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,3,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,4,0,11,64.83,89.86,6.56,589.7,ACCEPTED
963362.py,5,0,11,64.83,89.86,6.56,589.7,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,1,14,68.41,15.51,1.0,15.51,ACCEPTED
997657.py,2,2,15,61.43,83.76,3.0,251.29,ACCEPTED
997657.py,3,2,16,61.42,66.61,2.67,177.62,ACCEPTED
997657.py,4,2,13,64.39,53.15,2.36,125.28,REJECTED
